cell_key,minimum_dQ_100_10,variance_dQ_100_10,skewness_dQ_100_10,kurtosis_dQ_100_10,slope_lin_fit_2_100,intercept_lin_fit_2_100,discharge_capacity_2,diff_discharge_capacity_max_2,mean_charge_time_2_6,minimum_IR_2_100,diff_IR_100_2,minimum_dQ_5_4,variance_dQ_5_4,cycle_life,cycle_550_clf
4-3,1.0966134333977129,-5.938304305508886,-2.202472209499733,-0.279374857086823,-0.1422725736274313,1172.2534854714952,1174.5976,0.0,1855.2,9999,9999,9999,9999,1142,9999
5-7,1.0845899400241217,-3.759530934871589,2.7681117559509607,5.53002333147698,-0.13638853899539635,1173.6473764447194,1176.002911111111,0.0,1870.6,9999,9999,9999,9999,1448,9999
3-3,0.09391485074945112,-4.680471179076827,-0.10286872661747588,0.23176670815523212,0.008341851164708864,1186.658698463089,1173.513511111111,17.0528888888889,1866.4,9999,9999,9999,9999,1649,9999
2-3,0.9295721790765434,-5.226899510552332,2.3829022272942524,5.111429185778135,0.08921480189651594,1180.6606980645456,1166.4458222222222,23.073022222222335,1862.0,9999,9999,9999,9999,1751,9999
9-3,0.4219079727794577,-0.12777269074326403,-0.9853452006879674,0.5579640266741623,-0.013402464371607218,1204.2375283813187,1191.3324444444445,15.815933333333305,1917.8,9999,9999,9999,9999,1905,9999
10-5,0.17031909585998914,-4.280257480135085,2.145913118940057,4.8005621818875825,0.03996149302549281,1194.7208568863236,1179.903622222222,20.52977777777778,1885.0,9999,9999,9999,9999,2030,9999
3-2,0.22079125900594923,-5.038353290327894,-0.7441111319206325,-0.05997384088287298,0.0017176417233562718,1197.8202579811723,1185.426,15.863333333333458,1909.4,9999,9999,9999,9999,2283,9999
3-7,1.0011404063596778,-3.6910405270233233,2.0819677263783953,4.59022484930117,-0.11053588895760365,1168.1696424837946,1170.4024,0.0,1841.6,9999,9999,9999,9999,2479,9999
9-1,0.5606940747740673,-5.213429040398465,2.7882172587206835,5.592294174146555,-0.04463008122036709,1209.3332908174716,1197.1352666666667,14.315755555555597,1941.4,9999,9999,9999,9999,2057,9999
2-2,1.1634629961722687,-4.383747256878775,-0.2719596139470321,1.8084257709921416,-0.1672657544148977,1217.1935207173779,1220.2054222222223,0.0,2099.6,9999,9999,9999,9999,2651,9999
